Log File Opened. 
Message: Game Manager Started. 
Message: COLLISION OCCURED
Message: COLLISION OCCURED
Message: COLLISION OCCURED
Message: COLLISION OCCURED
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
Message: OUT EVENT
